Dataset,Month,Method,Shape Parameter (k),Scale Parameter (gamma),Num Data Points,AIC,BIC,KS Statistic,KS p-value,Mean,CI_95_Low,CI_95_High,Pct_10_15,Pct_GT_25
westmeath_mullingar,April,ls,1.7711,8.58072,35765,198818.94721,198835.91666,0.05524,0.00000,7.63703,1.07661,17.93106,0.20150,0.00130
westmeath_mullingar,May,mle,1.8959,8.04457,36969,200948.82992,200965.86559,0.05220,0.00000,7.13896,1.15710,16.01467,0.18232,0.00019
westmeath_mullingar,May,mm,1.9163,8.14248,36969,200968.52805,200985.56372,0.06101,0.00000,7.22344,1.19566,16.09099,0.18728,0.00019
westmeath_mullingar,May,ls,1.8040,8.04273,36969,201108.53308,201125.56875,0.06119,0.00000,7.15154,1.04803,16.58254,0.18130,0.00044
westmeath_mullingar,June,mle,1.9776,7.40277,35770,186346.38441,186363.35414,0.06449,0.00000,6.56199,1.15362,14.32363,0.14567,0.00002
westmeath_mullingar,June,mm,2.0250,7.58858,35770,186435.64635,186452.61608,0.08410,0.00000,6.72381,1.23513,14.45819,0.15524,0.00001
westmeath_mullingar,June,ls,1.8876,7.38226,35770,186476.75241,186493.72214,0.06648,0.00000,6.55215,1.05288,14.74042,0.14766,0.00005
westmeath_mullingar,July,mle,2.0003,7.17928,37059,190063.44270,190080.48324,0.06684,0.00000,6.36246,1.14268,13.78741,0.13095,0.00001
westmeath_mullingar,July,mm,1.9812,7.14332,37059,190070.35359,190087.39413,0.06319,0.00000,6.33176,1.11699,13.80489,0.12972,0.00001
westmeath_mullingar,July,ls,1.9154,7.07827,37059,190179.52743,190196.56796,0.07567,0.00000,6.27943,1.03847,13.99230,0.12915,0.00001
westmeath_mullingar,August,mle,1.9246,7.13677,36671,189753.14622,189770.16570,0.06138,0.00000,6.33045,1.05666,14.06230,0.13214,0.00001
westmeath_mullingar,August,mm,1.9223,7.14522,36671,189753.51028,189770.52976,0.06093,0.00000,6.33816,1.05552,14.09020,0.13274,0.00002
westmeath_mullingar,August,ls,1.8244,7.08264,36671,189922.71873,189939.73821,0.07665,0.00000,6.29457,0.94424,14.48509,0.13354,0.00005
westmeath_mullingar,September,mle,1.8075,7.64947,35612,192200.41261,192217.37349,0.05604,0.00000,6.80122,1.00081,15.74917,0.16317,0.00020
westmeath_mullingar,September,mm,1.8191,7.73421,35612,192213.40093,192230.36181,0.06327,0.00000,6.87454,1.02504,15.85080,0.16719,0.00021
westmeath_mullingar,September,ls,1.6659,7.40489,35612,192593.86808,192610.82896,0.08528,0.00000,6.61661,0.81496,16.21105,0.15302,0.00050
westmeath_mullingar,October,mle,1.8182,8.33582,36916,205451.94600,205468.97880,0.05049,0.00000,7.40944,1.10368,17.08979,0.19403,0.00063
